date,country,confirmed,deaths,death_rate,new_cases,new_deaths,acceleration_cases,acceleration_deaths,days_since_100,days_since_10,double_5_cases,double_1_deaths,double_20_cases,double_3_cases,double_3_deaths,double_5_deaths,double_1_cases,double_10_deaths,double_10_cases,double_20_deaths
2020-03-12,US: Ohio,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,US: Ohio,13.0,0.0,0.0,8.0,0.0,7.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,US: Ohio,26.0,0.0,0.0,13.0,0.0,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,US: Ohio,37.0,0.0,0.0,11.0,0.0,-2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,US: Ohio,50.0,0.0,0.0,13.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,US: Ohio,67.0,0.0,0.0,17.0,0.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,US: Ohio,90.0,0.0,0.0,23.0,0.0,6.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,US: Ohio,120.0,0.0,0.0,30.0,0.0,7.0,0.0,1,0,120.0,0.0,120.0,120.0,0.0,0.0,120.0,0.0,120.0,0.0
2020-03-20,US: Ohio,169.0,1.0,0.005917159763313609,49.0,1.0,19.0,1.0,2,0,137.8438025996442,0.0,124.2317908609653,151.19052598738477,0.0,0.0,240.0,0.0,128.61281550435518,0.0
2020-03-21,US: Ohio,247.0,3.0,0.012145748987854251,78.0,2.0,29.0,1.0,3,0,158.3409492927473,0.0,128.61281550435518,190.48812623618394,0.0,0.0,480.0,0.0,137.8438025996442,0.0
2020-03-22,US: Ohio,351.0,3.0,0.008547008547008548,104.0,0.0,26.0,-2.0,4,0,181.88598798124772,0.0,133.14833664814142,240.00000000000003,0.0,0.0,960.0,0.0,147.73732960138994,0.0
