date,country,metric,point_forecast,lo_80,hi_80,lo_95,hi_95,population
2022-01-01,China: Liaoning,active_cases,786.2782844139883,686.5095831742881,886.0469856536886,633.6952230129027,938.861345815074,4.3746323e7
2022-01-02,China: Liaoning,active_cases,786.2821219996076,682.6857400983163,889.878503900899,627.8451281913224,944.7191158078929,4.3746323e7
2022-01-03,China: Liaoning,active_cases,786.285372134354,678.9746925931165,893.5960516755915,622.1678502865568,950.4028939821512,4.3746323e7
2022-01-04,China: Liaoning,active_cases,786.2881247441765,675.3685036649877,897.2077458233653,616.6512031103166,955.9250463780363,4.3746323e7
2022-01-05,China: Liaoning,active_cases,786.290455989317,671.8600575933046,900.7208543853294,611.2842637902185,961.2966481884156,4.3746323e7
2022-01-06,China: Liaoning,active_cases,786.2924303715422,668.4429395845573,904.1419211585271,606.057187601019,966.5276731420654,4.3746323e7
2021-12-18,China: Ningxia,cases,122.0,121.35313835227542,122.64686164772458,121.0107104804779,122.9892895195221,6.30135e6
2021-12-19,China: Ningxia,cases,122.0,120.91308823136676,123.08691176863324,120.33771189691566,123.66228810308434,6.30135e6
2021-12-20,China: Ningxia,cases,122.0,120.41315697468305,123.58684302531695,119.57313301910085,124.42686698089915,6.30135e6
2021-12-21,China: Ningxia,cases,122.0,119.8723200540241,124.1276799459759,118.74599432683088,125.25400567316912,6.30135e6
2021-12-22,China: Ningxia,cases,122.0,119.30212996993575,124.69787003006425,117.8739638450296,126.1260361549704,6.30135e6
2021-12-23,China: Ningxia,cases,122.0,118.71066523503248,125.28933476496752,116.96939659256537,127.03060340743463,6.30135e6
2021-12-24,China: Ningxia,cases,122.0,118.10395420699606,125.89604579300394,116.0415121469096,127.9584878530904,6.30135e6
2021-12-25,China: Ningxia,cases,122.0,117.48665831341086,126.51334168658914,115.09743954635267,128.9025604536473,6.30135e6
2021-12-26,China: Ningxia,cases,122.0,116.86246049723195,127.13753950276805,114.14281136608174,129.85718863391827,6.30135e6
2021-12-27,China: Ningxia,cases,122.0,116.23431083107177,127.76568916892823,113.1821393528166,130.81786064718338,6.30135e6
2021-12-28,China: Ningxia,cases,122.0,115.60459323870609,128.3954067612939,112.2190694033499,131.78093059665008,6.30135e6
2021-12-29,China: Ningxia,cases,122.0,114.97524447409428,129.0247555259057,111.25656352725609,132.7434364727439,6.30135e6
2021-12-30,China: Ningxia,cases,122.0,114.34784222190231,129.6521577780977,110.2970345850141,133.7029654149859,6.30135e6
2021-12-31,China: Ningxia,cases,122.0,113.72367219602721,130.2763278039728,109.34244890634515,134.65755109365486,6.30135e6
2022-01-01,China: Ningxia,cases,122.0,113.10378038149119,130.8962196185088,108.39440618729509,135.6055938127049,6.30135e6
2022-01-02,China: Ningxia,cases,122.0,112.4890144315127,131.5109855684873,107.454202801591,136.545797198409,6.30135e6
2022-01-03,China: Ningxia,cases,122.0,111.88005694280966,132.11994305719034,106.52288269082611,137.47711730917388,6.30135e6
2022-01-04,China: Ningxia,cases,122.0,111.27745251804181,132.7225474819582,105.60127875289362,138.39872124710638,6.30135e6
2022-01-05,China: Ningxia,cases,122.0,110.68162999037867,133.31837000962133,104.6900468315303,139.3099531684697,6.30135e6
2022-01-06,China: Ningxia,cases,122.0,110.09292082376098,133.90707917623902,103.789693857088,140.210306142912,6.30135e6
2021-12-18,China: Ningxia,deaths,0.0,0.0,0.0,0.0,0.0,6.30135e6
